City,Price,Area,Numbers of Bedroom,Numbers of Bathroom,Type
New Cairo,"3,039,381", 174 m2,3,2,apartment
New Administrative Capital,"1,080,000", 120 m2,3,2,apartment
6th October,"1,777,500", 145 m2,3,2,apartment
New Cairo,"3,141,600", 140 m2,3,2,apartment
Al Ain Al Sokhna,"1,150,000", 120 m2,2,2,chalet
New Administrative Capital,"800,000", 150 m2,3,2,apartment
New Administrative Capital,"1,600,000", 145 m2,3,2,apartment
New Cairo,"2,800,000", 178 m2,3,3,apartment
New Administrative Capital,"1,878,500", 149 m2,3,3,apartment
New Administrative Capital,"8,900,000", 537 m2,5,3,villa
Al Ain Al Sokhna,"1,023,000", 66 m2,1,1,chalet
Maadi,"1,250,000", 171 m2,3,2,apartment
New Cairo,"2,850,000", 305 m2,4,3,apartment
Sheikh Zayed,"11,000,000", 300 m2,3,3,villa
Sheikh Zayed,"8,917,000", 287 m2,5,4,villa
Sheikh Zayed,"4,925,000", 196 m2,3,3,twin-house
6th October,"500,000", 82 m2,2,1,apartment
6th October,"3,615,000", 316 m2,4,3,town-house
6th October,"3,821,000", 330 m2,3,3,town-house
New Administrative Capital,"6,867,500", 328 m2,4,3,twin-house
Al Ain Al Sokhna,"1,150,000", 130 m2,3,2,chalet
New Cairo,"3,250,000", 180 m2,3,2,apartment
Al Ain Al Sokhna,"2,050,000", 135 m2,2,2,chalet
Al Ain Al Sokhna,"5,980,000", 200 m2,4,3,villa
Al Ain Al Sokhna,"2,200,000", 104 m2,2,2,chalet
New Administrative Capital,"1,701,000", 162 m2,3,3,apartment
Al Ain Al Sokhna,"3,590,000", 150 m2,3,2,chalet-with-garden
Al Ain Al Sokhna,"2,000,000", 125 m2,3,2,chalet
New Cairo,"2,253,210", 114 m2,3,2,apartment
Shorouk City,"11,700,000", 438 m2,5,3,villa
Katameya City,"2,508,500", 173 m2,3,2,apartment
Nasr City,"725,000", 118 m2,2,2,apartment
Nasr City,"1,612,000", 155 m2,3,2,apartment
Mostakbal City,"6,198,296", 262 m2,4,3,town-house
Mostakbal City,"2,070,000", 230 m2,3,2,pent-house
6th October,"1,168,000", 123 m2,2,2,apartment
6th October,"1,946,800", 157 m2,3,2,apartment
New Cairo,"4,590,000", 106 m2,2,1,apartment
6th October,"5,000,000", 400 m2,4,3,pent-house
New Cairo,"2,025,000", 135 m2,2,2,apartment
Mostakbal City,"3,991,056", 219 m2,4,3,town-house
New Mansoura City,"5,625,000", 375 m2,5,3,villa
New Cairo,"3,640,000", 160 m2,3,2,apartment
Nasr City,"1,320,000", 92 m2,3,2,apartment
Nasr City,"1,360,000", 135 m2,3,3,apartment
Nasr City,"3,020,000", 92 m2,2,2,apartment
New Administrative Capital,"1,740,000", 200 m2,4,3,apartment
New Cairo,"1,300,000", 137 m2,2,2,apartment
New Cairo,"1,500,000", 162 m2,3,3,apartment
6th October,"2,851,000", 90 m2,1,1,apartment
New Cairo,"1,300,000", 128 m2,2,2,apartment
Maadi,"950,000", 100 m2,2,2,apartment
Shorouk City,"4,850,000", 420 m2,4,4,town-house
New Administrative Capital,"1,205,400", 123 m2,2,2,apartment
Katameya City,"1,365,000", 105 m2,3,2,apartment
6th October,"3,765,670", 120 m2,1,1,apartment
6th October,"5,629,429", 160 m2,2,1,apartment
6th October,"4,500,000", 200 m2,3,3,apartment
New Administrative Capital,"1,552,500", 135 m2,3,3,apartment
New Cairo,"2,000,000", 140 m2,2,2,apartment
Sheikh Zayed,"6,350,000", 245 m2,4,3,villa
6th October,"7,838,600", 258 m2,4,3,twin-house
Mostakbal City,"3,100,000", 275 m2,4,4,town-house
New Cairo,"1,722,000", 140 m2,2,2,apartment
New Cairo,"7,850,000", 374 m2,5,6,villa
New Cairo,"3,634,000", 170 m2,3,2,apartment
New Cairo,"3,467,000", 170 m2,3,2,apartment
Shorouk City,"1,610,000", 155 m2,3,2,apartment
Shorouk City,"2,095,000", 148 m2,2,2,apartment
Sheikh Zayed,"2,613,000", 102 m2,2,2,apartment
6th October,"7,348,228", 265 m2,4,2,town-house
Mostakbal City,"4,600,000", 263 m2,6,4,town-house
New Cairo,"2,625,718", 182 m2,3,2,apartment
New Cairo,"2,598,830", 182 m2,3,2,apartment
New Cairo,"3,020,455", 156 m2,3,2,apartment
Mostakbal City,"3,450,000", 245 m2,3,3,apartment
Shorouk City,"5,900,000", 200 m2,3,2,apartment
New Cairo,"4,300,700", 216 m2,4,3,apartment
New Administrative Capital,"1,200,000", 120 m2,1,1,apartment
Shorouk City,"5,900,000", 258 m2,4,3,duplex
New Administrative Capital,"2,415,000", 230 m2,3,3,apartment
New Cairo,"11,000,000", 419 m2,4,3,villa
New Cairo,"5,200,000", 225 m2,3,3,villa
New Cairo,"6,200,000", 257 m2,4,4,town-house
Maadi,"1,540,000", 154 m2,3,3,apartment
New Cairo,"2,400,000", 800 m2,6,4,villa
New Cairo,"5,198,000", 216 m2,3,2,apartment
New Cairo,"3,355,000", 155 m2,2,2,apartment
Sheikh Zayed,"81,000,000", 725 m2,8,7,villa
New Administrative Capital,"1,656,200", 169 m2,3,3,apartment
New Cairo,"2,866,969", 160 m2,3,2,apartment
New Cairo,"2,712,229", 182 m2,3,2,apartment
Mostakbal City,"11,572,567", 216 m2,3,2,apartment
Nasr City,"600,000", 104 m2,2,2,apartment
Nasr City,"1,071,200", 103 m2,2,2,apartment
Nasr City,"1,874,000", 115 m2,2,2,apartment
Shorouk City,"1,500,000", 223 m2,3,3,apartment
New Administrative Capital,"845,000", 175 m2,3,2,apartment
New Cairo,"2,050,000", 150 m2,3,3,apartment
Maadi,"1,250,000", 151 m2,3,2,apartment
Sheikh Zayed,"15,000,000", 420 m2,5,4,villa
Shorouk City,"3,400,000", 420 m2,5,4,town-house
New Cairo,"1,500,000", 140 m2,2,2,apartment
Katameya City,"1,130,000", 145 m2,3,2,apartment
New Cairo,"9,301,084", 275 m2,3,2,villa
Mostakbal City,"2,111,330", 128 m2,3,2,apartment
New Mansoura City,"1,350,000", 90 m2,2,1,apartment
New Mansoura City,"5,250,000", 350 m2,6,4,villa
New Cairo,"1,976,500", 100 m2,3,1,apartment
Nasr City,"1,262,500", 125 m2,2,2,apartment
Nasr City,"1,185,600", 114 m2,3,2,apartment
New Cairo,"5,050,000", 112 m2,2,1,apartment
New Administrative Capital,"1,265,000", 115 m2,2,2,apartment
New Administrative Capital,"1,540,000", 140 m2,3,2,apartment
New Administrative Capital,"1,000,000", 200 m2,3,2,apartment
New Cairo,"3,500,000", 238 m2,3,3,duplex
New Cairo,"6,500,000", 180 m2,4,4,town-house
Maadi,"1,000,000", 124 m2,3,1,apartment
Al Ain Al Sokhna,"1,680,000", 130 m2,3,2,chalet
New Cairo,"4,200,000", 270 m2,4,4,town-house
New Cairo,"2,600,000", 146 m2,2,3,apartment
New Administrative Capital,"1,746,000", 97 m2,3,2,apartment
6th October,"9,576,700", 257 m2,4,3,villa
New Mansoura City,"5,040,000", 168 m2,3,2,apartment
New Cairo,"2,831,760", 140 m2,3,2,apartment
New Cairo,"4,355,000", 150 m2,3,2,apartment
New Cairo,"4,700,000", 175 m2,3,3,apartment
New Cairo,"1,750,000", 140 m2,2,2,apartment
New Cairo,"1,900,000", 160 m2,3,2,apartment
New Cairo,"2,750,000", 274 m2,4,4,apartment
6th October,"1,351,600", 109 m2,2,2,apartment
New Cairo,"4,700,000", 300 m2,4,4,twin-house
Maadi,"900,000", 145 m2,3,2,duplex
New Administrative Capital,"11,161,000", 468 m2,5,5,villa
New Cairo,"3,190,000", 145 m2,3,2,apartment
New Cairo,"1,495,000", 140 m2,2,2,apartment
New Cairo,"2,850,000", 220 m2,2,3,apartment
New Cairo,"2,150,000", 195 m2,3,3,apartment
New Cairo,"2,350,000", 187 m2,3,3,apartment
Alexandria,"4,500,000", 237 m2,3,3,duplex
Alexandria,"2,180,000", 121 m2,2,2,apartment
New Cairo,"1,450,000", 132 m2,2,1,apartment
Alexandria,"2,850,000", 168 m2,3,3,apartment
6th October,"2,873,000", 143 m2,3,2,apartment
Nasr City,"1,573,000", 149 m2,2,2,apartment
Nasr City,"1,270,000", 125 m2,2,2,apartment
New Administrative Capital,"4,400,000", 382 m2,4,3,town-house
Maadi,"3,000,000", 170 m2,3,3,apartment
Al Ain Al Sokhna,"1,550,000", 100 m2,2,2,chalet
Maadi,"1,150,000", 135 m2,3,2,apartment
Alexandria,"3,131,717", 167 m2,3,3,apartment
Shorouk City,"1,550,000", 173 m2,3,3,apartment
Alexandria,"7,200,000", 280 m2,4,3,villa
New Heliopolis City,"4,000,000", 367 m2,5,3,villa
New Heliopolis City,"4,500,000", 380 m2,5,4,villa
New Heliopolis City,"3,600,000", 366 m2,5,3,villa
New Heliopolis City,"4,250,000", 372 m2,5,4,villa
New Heliopolis City,"3,200,000", 351 m2,5,3,villa
New Heliopolis City,"4,200,000", 370 m2,5,4,villa
New Heliopolis City,"2,700,000", 335 m2,5,3,villa
New Heliopolis City,"3,000,000", 340 m2,5,3,villa
New Heliopolis City,"2,500,000", 320 m2,5,3,villa
New Heliopolis City,"2,450,000", 317 m2,5,3,villa
Mostakbal City,"2,500,000", 200 m2,4,3,duplex
Mostakbal City,"3,750,000", 300 m2,5,3,pent-house
Mostakbal City,"3,000,000", 240 m2,4,3,pent-house
Mostakbal City,"2,250,000", 180 m2,2,2,apartment
Mostakbal City,"2,162,000", 173 m2,2,2,apartment
Mostakbal City,"2,000,000", 160 m2,2,2,apartment
New Administrative Capital,"4,160,000", 400 m2,5,3,villa
New Administrative Capital,"4,844,000", 360 m2,5,3,villa
New Administrative Capital,"4,370,000", 300 m2,5,3,villa
New Administrative Capital,"3,896,000", 240 m2,4,3,duplex
New Administrative Capital,"3,761,000", 223 m2,4,3,duplex
New Administrative Capital,"3,580,000", 200 m2,4,3,duplex
New Administrative Capital,"2,461,000", 185 m2,2,2,apartment
New Administrative Capital,"2,422,000", 180 m2,2,2,apartment
New Administrative Capital,"1,979,000", 124 m2,2,2,apartment
New Administrative Capital,"1,948,000", 120 m2,2,2,apartment
6th October,"3,075,000", 123 m2,2,2,apartment
Maadi,"2,210,000", 170 m2,2,2,duplex
Shorouk City,"2,850,000", 300 m2,4,3,twin-house
Shorouk City,"2,375,000", 250 m2,4,3,twin-house
Shorouk City,"4,750,000", 500 m2,5,4,villa
Shorouk City,"5,225,000", 550 m2,6,5,villa
Shorouk City,"2,776,000", 187 m2,2,2,apartment
Shorouk City,"2,425,000", 150 m2,2,2,apartment
Shorouk City,"2,235,000", 130 m2,2,2,apartment
Shorouk City,"1,902,000", 95 m2,1,1,apartment
Shorouk City,"1,665,000", 70 m2,1,1,apartment
New Administrative Capital,"2,128,000", 152 m2,2,2,pent-house
New Administrative Capital,"2,338,000", 167 m2,2,2,pent-house
New Administrative Capital,"2,290,000", 160 m2,2,2,pent-house
New Administrative Capital,"3,654,000", 261 m2,4,3,duplex
New Administrative Capital,"3,640,000", 260 m2,4,3,duplex
New Administrative Capital,"3,542,000", 253 m2,4,3,duplex
New Administrative Capital,"1,860,000", 170 m2,2,2,apartment
New Administrative Capital,"1,400,000", 100 m2,2,1,apartment
New Administrative Capital,"1,220,000", 90 m2,1,1,apartment
New Administrative Capital,"1,100,000", 70 m2,1,1,apartment
Maadi,"4,420,000", 340 m2,5,3,pent-house
Maadi,"4,303,000", 331 m2,5,3,pent-house
Maadi,"4,160,000", 320 m2,4,3,pent-house
Maadi,"3,900,000", 300 m2,5,3,pent-house
Maadi,"2,899,000", 223 m2,4,3,duplex
Maadi,"3,640,000", 280 m2,4,3,pent-house
Maadi,"2,730,000", 210 m2,3,2,duplex
Maadi,"2,600,000", 200 m2,3,2,duplex
Maadi,"1,690,000", 130 m2,2,2,duplex
Nasr City,"1,913,000", 145 m2,2,2,apartment
Nasr City,"1,774,000", 123 m2,2,2,apartment
Nasr City,"1,756,000", 120 m2,2,2,apartment
Nasr City,"1,745,000", 118 m2,2,2,apartment
Nasr City,"1,705,000", 112 m2,2,2,apartment
Nasr City,"1,674,000", 107 m2,2,2,apartment
Nasr City,"1,648,000", 103 m2,2,2,apartment
Nasr City,"1,630,000", 100 m2,2,2,apartment
Nasr City,"2,640,000", 142 m2,2,2,apartment
Nasr City,"2,064,000", 140 m2,2,2,apartment
Nasr City,"1,950,000", 125 m2,2,2,apartment
Nasr City,"1,912,000", 120 m2,2,2,apartment
Nasr City,"1,535,000", 139 m2,2,2,apartment
Nasr City,"1,462,000", 120 m2,2,2,apartment
Nasr City,"1,346,000", 90 m2,1,1,apartment
Nasr City,"1,338,000", 88 m2,1,1,apartment
Nasr City,"1,308,000", 80 m2,1,1,apartment
Alex Desert Road,"3,800,000", 330 m2,5,3,duplex
Alex Desert Road,"3,650,000", 320 m2,5,3,duplex
Alex Desert Road,"3,500,000", 300 m2,5,3,duplex
Alex Desert Road,"3,000,000", 230 m2,4,3,duplex
Alex Desert Road,"2,800,000", 200 m2,4,3,duplex
Alex Desert Road,"3,000,000", 140 m2,2,2,apartment
Alex Desert Road,"2,900,000", 100 m2,2,1,apartment
Alex Desert Road,"2,700,000", 97 m2,1,1,apartment
Alex Desert Road,"2,620,000", 83 m2,1,1,apartment
Alex Desert Road,"2,500,000", 70 m2,1,1,apartment
Shorouk City,"4,720,000", 250 m2,4,3,pent-house
Shorouk City,"4,300,000", 248 m2,4,3,pent-house
Shorouk City,"4,880,000", 277 m2,4,3,pent-house
Shorouk City,"5,000,000", 300 m2,5,3,duplex
Shorouk City,"4,500,000", 290 m2,5,3,duplex
Shorouk City,"4,200,000", 282 m2,5,3,duplex
Shorouk City,"3,000,000", 200 m2,3,2,apartment
Shorouk City,"2,910,000", 190 m2,2,2,apartment
Shorouk City,"2,820,000", 180 m2,2,2,apartment
Shorouk City,"2,500,000", 174 m2,2,2,apartment
Sheikh Zayed,"7,000,000", 300 m2,4,3,villa
Sheikh Zayed,"6,320,000", 247 m2,4,3,villa
Sheikh Zayed,"6,000,000", 240 m2,4,3,villa
Sheikh Zayed,"4,630,000", 230 m2,4,3,pent-house
Sheikh Zayed,"4,500,000", 200 m2,3,2,pent-house
Sheikh Zayed,"4,500,000", 180 m2,2,2,pent-house
Sheikh Zayed,"1,800,000", 120 m2,2,2,apartment
Sheikh Zayed,"1,720,000", 118 m2,2,2,apartment
New Cairo,"4,000,000", 358 m2,5,3,villa
New Cairo,"3,500,000", 350 m2,5,3,twin-house
New Cairo,"3,300,000", 325 m2,5,3,twin-house
New Cairo,"3,236,000", 313 m2,5,3,twin-house
New Cairo,"3,200,000", 320 m2,5,3,town-house
New Cairo,"3,000,000", 300 m2,5,3,town-house
New Cairo,"2,500,000", 280 m2,4,3,town-house
New Cairo,"2,473,000", 270 m2,4,3,town-house
Al Ain Al Sokhna,"2,700,000", 300 m2,4,3,villa
Al Ain Al Sokhna,"2,620,000", 225 m2,4,3,villa
Al Ain Al Sokhna,"2,500,000", 200 m2,4,3,villa
Al Ain Al Sokhna,"1,800,000", 90 m2,1,1,apartment
Al Ain Al Sokhna,"1,720,000", 67 m2,1,1,apartment
Al Ain Al Sokhna,"1,500,000", 55 m2,1,1,apartment
Al Ain Al Sokhna,"2,250,000", 130 m2,2,2,chalet
Al Ain Al Sokhna,"2,400,000", 142 m2,2,2,chalet
Al Ain Al Sokhna,"2,200,000", 127 m2,2,2,chalet
Al Ain Al Sokhna,"2,000,000", 100 m2,2,2,chalet
Mostakbal City,"1,350,000", 150 m2,2,2,pent-house
Mostakbal City,"1,800,000", 200 m2,3,2,pent-house
6th October,"4,088,000", 290 m2,4,3,twin-house
6th October,"3,654,000", 261 m2,4,3,twin-house
6th October,"4,230,000", 282 m2,4,3,town-house
6th October,"3,900,000", 260 m2,4,3,town-house
6th October,"3,570,000", 255 m2,4,3,twin-house
6th October,"3,870,000", 258 m2,4,3,town-house
6th October,"5,208,000", 372 m2,5,3,villa
6th October,"5,040,000", 360 m2,5,3,villa
6th October,"4,984,000", 356 m2,5,3,villa
6th October,"4,760,000", 340 m2,5,3,villa
6th October,"3,136,000", 320 m2,5,3,pent-house
6th October,"2,940,000", 300 m2,5,3,pent-house
6th October,"2,260,000", 200 m2,4,3,pent-house
6th October,"1,568,000", 160 m2,2,2,duplex
6th October,"1,528,000", 156 m2,2,2,duplex
6th October,"1,272,000", 140 m2,2,2,apartment
6th October,"1,176,000", 120 m2,2,2,apartment
6th October,"1,127,000", 115 m2,2,2,apartment
New Cairo,"3,100,000", 350 m2,5,3,villa
New Cairo,"2,200,000", 200 m2,4,3,town-house
New Cairo,"2,410,000", 225 m2,4,3,town-house
New Cairo,"3,200,000", 500 m2,6,3,villa
New Cairo,"1,720,000", 112 m2,2,2,apartment
New Cairo,"1,400,000", 110 m2,2,2,apartment
New Cairo,"1,200,000", 100 m2,2,2,apartment
New Cairo,"3,400,000", 250 m2,4,3,twin-house
New Cairo,"2,760,000", 217 m2,4,3,twin-house
New Cairo,"3,000,000", 230 m2,4,3,twin-house
New Cairo,"2,200,000", 210 m2,3,2,pent-house
New Cairo,"2,900,000", 225 m2,4,3,twin-house
New Cairo,"2,000,000", 205 m2,3,2,pent-house
New Cairo,"4,600,000", 360 m2,5,3,villa
New Cairo,"1,400,000", 150 m2,2,2,pent-house
New Cairo,"4,250,000", 325 m2,5,3,villa
New Cairo,"4,000,000", 300 m2,5,3,villa
6th October,"6,500,000", 300 m2,5,3,town-house
6th October,"5,500,000", 265 m2,4,3,town-house
6th October,"5,000,000", 225 m2,4,3,town-house
6th October,"5,200,000", 240 m2,4,3,town-house
6th October,"4,320,000", 210 m2,4,3,town-house
6th October,"5,000,000", 266 m2,4,3,villa
6th October,"4,800,000", 250 m2,4,3,villa
6th October,"4,670,000", 247 m2,4,3,villa
6th October,"4,500,000", 230 m2,4,3,villa
6th October,"4,200,000", 200 m2,4,3,villa
New Administrative Capital,"2,435,000", 205 m2,3,2,duplex
New Administrative Capital,"2,050,000", 150 m2,2,2,duplex
New Administrative Capital,"2,540,000", 220 m2,3,2,duplex
New Administrative Capital,"2,000,000", 144 m2,2,2,pent-house
New Administrative Capital,"1,980,000", 140 m2,2,2,pent-house
New Administrative Capital,"2,400,000", 200 m2,3,2,pent-house
New Administrative Capital,"2,220,000", 160 m2,2,2,duplex
New Administrative Capital,"1,910,000", 130 m2,2,2,pent-house
New Administrative Capital,"2,099,000", 157 m2,2,2,duplex
New Administrative Capital,"1,959,000", 137 m2,2,2,pent-house
New Administrative Capital,"5,800,000", 380 m2,5,3,villa
New Administrative Capital,"5,720,000", 350 m2,5,3,villa
New Administrative Capital,"3,500,000", 300 m2,5,3,villa
New Administrative Capital,"4,100,000", 267 m2,4,3,duplex
New Administrative Capital,"4,000,000", 230 m2,4,3,duplex
New Administrative Capital,"3,500,000", 200 m2,4,3,duplex
New Administrative Capital,"3,000,000", 180 m2,2,2,apartment
New Administrative Capital,"3,200,000", 192 m2,2,2,apartment
New Administrative Capital,"2,500,000", 167 m2,2,2,apartment
New Administrative Capital,"2,432,000", 160 m2,2,2,apartment
New Administrative Capital,"1,500,000", 90 m2,1,1,apartment
New Administrative Capital,"2,830,000", 123 m2,2,2,office
New Administrative Capital,"2,500,000", 127 m2,1,1,store
New Administrative Capital,"2,500,000", 115 m2,2,2,office
New Administrative Capital,"2,300,000", 120 m2,1,1,store
New Administrative Capital,"2,000,000", 113 m2,1,1,store
New Administrative Capital,"1,900,000", 108 m2,1,1,store
New Administrative Capital,"1,750,000", 100 m2,1,1,store
New Cairo,"11,720,000", 300 m2,5,3,villa
New Cairo,"11,500,000", 290 m2,4,3,villa
New Cairo,"10,400,000", 280 m2,4,3,twin-house
New Cairo,"10,200,000", 266 m2,4,3,twin-house
New Cairo,"10,000,000", 260 m2,4,3,twin-house
New Cairo,"9,550,000", 257 m2,4,3,town-house
New Cairo,"9,400,000", 240 m2,4,3,town-house
New Cairo,"9,320,000", 234 m2,4,3,town-house
New Cairo,"9,000,000", 220 m2,4,3,town-house
New Cairo,"8,125,000", 325 m2,5,4,duplex
New Cairo,"6,384,000", 266 m2,4,4,villa
New Cairo,"8,250,000", 330 m2,5,4,duplex
New Cairo,"7,820,000", 340 m2,5,4,duplex
New Cairo,"7,975,000", 319 m2,5,4,duplex
New Cairo,"3,900,000", 195 m2,3,3,apartment
New Cairo,"3,400,000", 170 m2,3,3,apartment
New Cairo,"3,600,000", 180 m2,3,3,apartment
6th October,"10,350,000", 450 m2,5,4,villa
6th October,"9,660,000", 420 m2,5,4,villa
6th October,"9,200,000", 400 m2,5,4,villa
6th October,"8,395,000", 365 m2,5,4,villa
6th October,"8,740,000", 380 m2,5,4,villa
6th October,"7,800,000", 300 m2,5,4,twin-house
6th October,"7,540,000", 290 m2,4,4,twin-house
6th October,"7,384,000", 284 m2,4,4,twin-house
6th October,"7,020,000", 270 m2,4,4,twin-house
6th October,"6,900,000", 261 m2,4,4,twin-house
New Cairo,"7,332,000", 282 m2,5,4,twin-house
New Cairo,"6,625,000", 265 m2,4,4,twin-house
New Cairo,"6,630,000", 255 m2,4,4,town-house
New Cairo,"6,396,000", 246 m2,4,4,town-house
New Cairo,"5,980,000", 230 m2,4,4,town-house
New Cairo,"6,000,000", 250 m2,4,4,villa
New Cairo,"5,472,000", 228 m2,4,4,villa
New Cairo,"5,760,000", 240 m2,4,4,villa
New Cairo,"5,400,000", 225 m2,4,4,villa
6th October,"12,360,000", 410 m2,6,3,villa
6th October,"13,000,000", 630 m2,6,4,villa
6th October,"12,900,000", 500 m2,6,3,villa
6th October,"12,700,000", 470 m2,6,3,villa
6th October,"12,300,000", 320 m2,5,3,villa
6th October,"11,000,000", 300 m2,5,3,town-house
6th October,"10,720,000", 270 m2,4,3,town-house
6th October,"10,500,000", 253 m2,4,3,town-house
6th October,"10,200,000", 242 m2,4,3,town-house
6th October,"10,199,000", 240 m2,4,3,town-house
6th October,"11,000,000", 250 m2,3,2,apartment
6th October,"10,200,000", 230 m2,3,2,apartment
6th October,"10,000,000", 167 m2,2,2,apartment
6th October,"10,120,000", 200 m2,3,2,apartment
6th October,"9,220,000", 150 m2,2,2,apartment
Mostakbal City,"5,400,000", 320 m2,5,3,villa
Mostakbal City,"5,100,000", 300 m2,5,3,villa
Mostakbal City,"4,080,000", 240 m2,4,3,villa
Mostakbal City,"3,825,000", 225 m2,4,3,villa
Mostakbal City,"3,400,000", 200 m2,4,3,villa
Mostakbal City,"1,700,000", 100 m2,2,2,apartment
Mostakbal City,"1,190,000", 70 m2,1,1,apartment
Mostakbal City,"1,071,000", 63 m2,1,1,apartment
Mostakbal City,"1,020,000", 60 m2,1,1,apartment
6th October,"5,440,000", 320 m2,5,4,pent-house
6th October,"5,355,000", 315 m2,5,4,pent-house
6th October,"5,168,000", 304 m2,5,4,pent-house
6th October,"5,270,000", 310 m2,5,4,pent-house
6th October,"5,100,000", 300 m2,5,4,pent-house
6th October,"3,655,000", 215 m2,4,3,apartment
6th October,"3,536,000", 208 m2,3,3,apartment
6th October,"3,332,000", 196 m2,3,3,apartment
6th October,"3,400,000", 200 m2,3,3,apartment
6th October,"3,264,000", 192 m2,3,3,apartment
6th October,"3,200,000", 300 m2,4,3,duplex
6th October,"5,300,000", 320 m2,5,3,duplex
6th October,"4,700,000", 280 m2,4,3,duplex
6th October,"4,000,000", 273 m2,4,3,duplex
6th October,"3,650,000", 240 m2,4,3,duplex
6th October,"3,500,000", 225 m2,4,3,duplex
6th October,"3,200,000", 220 m2,4,3,duplex
6th October,"2,000,000", 181 m2,2,2,apartment
6th October,"1,500,000", 167 m2,2,2,apartment
6th October,"1,470,000", 145 m2,2,2,apartment
6th October,"1,453,000", 138 m2,2,2,apartment
6th October,"1,400,000", 133 m2,2,2,apartment
6th October,"1,350,000", 123 m2,2,2,apartment
6th October,"1,300,000", 120 m2,2,2,apartment
6th October,"3,336,000", 278 m2,4,4,villa
6th October,"4,200,000", 300 m2,5,4,villa
6th October,"3,360,000", 280 m2,4,3,duplex
6th October,"3,260,000", 272 m2,4,3,duplex
6th October,"1,980,000", 180 m2,1,1,apartment
6th October,"1,804,000", 164 m2,3,3,apartment
6th October,"1,870,000", 170 m2,3,3,apartment
6th October,"1,705,000", 155 m2,3,2,apartment
6th October,"1,760,000", 160 m2,3,2,apartment
6th October,"1,600,000", 149 m2,1,1,apartment
6th October,"5,992,000", 428 m2,5,4,twin-house
6th October,"6,370,000", 455 m2,5,4,twin-house
6th October,"6,555,000", 437 m2,5,4,twin-house
6th October,"6,750,000", 450 m2,6,4,twin-house
6th October,"6,450,000", 430 m2,5,4,twin-house
6th October,"6,375,000", 425 m2,5,4,twin-house
6th October,"6,780,000", 452 m2,5,4,villa
6th October,"6,870,000", 458 m2,5,4,villa
6th October,"6,675,000", 445 m2,5,4,villa
6th October,"6,900,000", 460 m2,5,4,villa
6th October,"6,600,000", 440 m2,5,4,villa
6th October,"3,750,000", 250 m2,4,3,apartment
6th October,"3,000,000", 200 m2,4,3,apartment
6th October,"2,805,000", 187 m2,3,3,apartment
6th October,"2,500,000", 160 m2,1,1,apartment
New Cairo,"5,795,000", 305 m2,5,4,town-house
New Cairo,"5,586,000", 294 m2,5,4,town-house
